ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,177.9199981689453,1779.1999816894531,276000,27.0,413.76743,68.09882967228572,1.6250561001670039,155.12600708007812
TSLA,"Tesla, Inc.",3,USD,454.5299987792969,1363.5899963378906,211528,20.69,313.46896,65.43839409889628,0.5832052859756951,155.12600708007812
GOOGL,Alphabet Inc.,2,USD,317.6199951171875,635.239990234375,98542,9.64,31.354393,33.37983626417122,1.9093397504504117,155.12600708007812
IONQ,"IonQ, Inc.",11,USD,54.7599983215332,602.3599815368652,93441,9.14,,119.55493389501723,0.9142856813382365,155.12600708007812
SOFI,"SoFi Technologies, Inc.",20,USD,29.600000381469727,592.0000076293945,91834,8.98,52.857143,64.53660480879645,1.261056338456055,155.12600708007812
AMZN,"Amazon.com, Inc.",2,USD,229.11000061035156,458.2200012207031,71081,6.95,32.36017,34.96145478733389,0.16889212137013274,155.12600708007812
AAPL,Apple Inc.,1,USD,280.70001220703125,280.70001220703125,43543,4.26,37.576977,32.77148178762837,0.49808920985913097,155.12600708007812
QQQM,Invesco NASDAQ 100 ETF,1,USD,256.4599914550781,256.4599914550781,39783,3.89,35.12476,23.701044859355676,0.729771832128152,155.12600708007812
BBD,Banco Bradesco S.A.,56,USD,3.630000114440918,203.2800064086914,31534,3.08,10.083333,37.7009472237657,1.711576216791939,155.12600708007812
NVDA,NVIDIA Corporation,1,USD,183.3800048828125,183.3800048828125,28447,2.78,45.50372,49.83761287801917,0.6458337314689154,155.12600708007812
PFE,Pfizer Inc.,4,USD,25.700000762939453,102.80000305175781,15946,1.56,14.94186,26.383187437843365,0.24722224636124787,155.12600708007812
GLDM,SPDR Gold MiniShares,1,USD,83.33000183105469,83.33000183105469,12926,1.26,,19.404844196450522,2.3393845507950437,155.12600708007812
RKLB,Rocket Lab Corporation,1,USD,49.369998931884766,49.369998931884766,7658,0.75,,87.31901494664534,1.2203115170487815,155.12600708007812
MSFT,Microsoft Corporation,0,USD,480.8399963378906,0.0,0,0.0,34.247864,24.479957638059307,0.3298953502259419,155.12600708007812
